Subject,Question,A,B,D,C,E,I,F
Biology,"Ram was going through a forest and found many similar plants. What
amongst the given below could be
reason for the observed phenomenon?
The plants are",A and B,B and C,A and D,\( c \) and \( D \),,,
Biology,"Very short answer type.
Give the exact location and function of
grana",,,,,,,
Biology,"How does deforestation reduce rainfall
on the one hand and lead to floods on
the other?",,,,,,,
Biology,Most vertebrates show,Bilateral symmetry,Radial symmetry,Spherical symmetry,Biradial symmetry,,,
Biology,"The third stage of demographic transition is characterised with low
growth rate of population due to decline in both birth as well as the death rate.",True,False,,,,,
Biology,"A bacterium divides every 35 minutes. If
a culture containing \( 10^{5} \) cells/ml is
grown in 175 minutes, what will be cell
concentration after that period
A \( \cdot 175 \times 10^{5} \)
В. \( 35 \times 10^{5} \)",,,\( 32 \times 10^{5} \),\( 5 \times 10^{5} \),,,
Biology,Which of the following causes decrease in blood pressure?,Renin,Angiotensin,None of the above,ANF,,,
Biology,"Number of female flowers found in
cyathium is
A .",,"2
\( c .3 \)",several,,,,
Biology,"Which one of the following statements
is correct?",Neither hormones control neural activity nor neurons control endocrine activity.,"Endocrine glands regulate neural activity, but not vice versa.","Endocrine glands regulate neural activity, and nervous system regulates endocrine glands.","Neurons regulate endocrine activity, but not vice versa.",,,
Biology,"What are these structures from A to D?
Select labels from the following.","A- Blaststyles, B- hydranth, C- planula larva, D- sexual zooids","A- Blaststyles, B- hydranth, C- sexual zooids, Dplanula larva","A- Hydrant, B- blaststyles, C- planula larva, D- sexual zooids","A- Hydranth, B- blaststyles, C- sexual zooids, Dplanula larva",,,
Biology,Axis of Inflorescence is,Pedicle,Peduncle,All of the above,Petiole,,,
Biology,"The common characters between
tomato and potato will be maximum at the level of their",Order,Division,Family,Genus,,,
Biology,Which of the following is correct pair of pyrimidine bases?,Adenine \& Thymine,Adenine \& Guanine,Guanine \& Cytosine,Thymine \& Cytosine,,,
Biology,Coracoid is component of,Fore limb,Skull,Pelvic girdle,scapula,,,
Biology,Maximum fats present in seeds of,Arachis hypogea,Oryza sativa,Hibiscus esculentus,Cicer arietinum,,,
Biology,"Mention any two occupational
respiratory disorders and their causes in human beings?",,,,,,,
Biology,"Which of the following bonds link the
base of one chain and the base of other
chain of DNA?",Hydrogen bonds,Covalent bonds,None of the above,lonic bonds,,,
Biology,How does sex determination take place in human beings?,,,,,,,
Biology,Do you think there is any limitation in a detritus food chain?,,,,,,,
Biology,Structure which maintains the shape of the eye ball and the area of no vision.,,,,,,,
Biology,"Oxygen in atmosphere has been formed
by",Evaporation of water,Photosynthesis of blue green algae,Decaying organisms,Metabolism of microorganisms,,,
Biology,Eroded soils are,Devoid of plant nutrients,Richer in plant nutrients,Fit for agriculture,Unaltered in plant nutrients,,,
Biology,"A nucleic acid is made up of which kind
of monomers?",Amino acids,Nucleotides,Monosaccharides,Alternating sugar.and phosphate groups,,,
Biology,In which of the following elaters are found?,Angiosperms,Bryophyta,Bacteria,Algae,,,
Biology,Species is a group of organisms that \( \ldots \),cannot inter-breed,Live together,None of these,can inter-breed,,,
Biology,The lower layer of the atmosphere is known as,Mesosphere,Ionosphere,Stratosphere,Troposphere,,,
Biology,List four causes and consequences of deforestation.,,,,,,,
Biology,"Which
is the most important factor for the suc
cess of animal population?",Natality,Unlimited food,Interspecies activity,Adaptability,,,
Biology,The botanical name for onion and garlic can be written as,Allium cepa and Asphodelus tenuifolius,Allium sativum and Allium cepa,Allium cepa and Allium sativum,Asphodelus tenuifolius and Allium sativum,,,
Biology,"Amount of saliva secreted daily in
humans is",250 \( \mathrm{ml} \),500 m1,1000 \( \mathrm{m} \),\( 100 \mathrm{ml} \),,,
Biology,"Alternate name for Krebs cycle is
A . Glyoxylate cycle",,Glycolate cycle.,EMP pathway.,Citric acid cycle,,,
Biology,"At the metaphase plate during metaphase II of meiosis, there are",chromosomes consisting of one chromatid,unpaired duplicated chromosomes,homologous pairs. of chromosomes,bivalents (tetrads),,,
Biology,"Digested food after absorption comes
into",Heart,Lungs,water,Blood,,,
Biology,The cambium which produces cork is called as,Phelloderm,Phellogen,Plerome,Periblem,,,
Biology,Name the principal mineralocorticoid secreted by the adrenal cortex.,,,,,,,
Biology,Protists obtain food as,Photosynthesizers and symbionts,Photosynthesizers,Holotrophs,Chemosynthesizers,,,
Biology,"The diversification of an ancestral
group of organisms into a variety of related forms specialized to fit different environments is known as",Convergent evolution,Divergent evolution,Gradualism,Adaptive radiation,Directional selection,,
Biology,"How many among the following organisms hve linear ds DNA as their
genetic material? Homo sapiens, Escherichia coil Drosophila, \( \phi \times 174 \) bacteriophage
A . 1",,"4
\( c .3 \)",,,,,
Biology,"Assertion
Every biological system resist a change and wants to remain in state of
equilibrium.
Reason
Climax communities of an ecosystem are produced after several changes it has gone through succession.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"When the level of contaminants in air
becomes so much that air becomes
harmful for living beings, it is called
A . air pollution",,water pollution,all of the above,noise Pollution,,,
Biology,"During the course of evolution, which part of the brain has shown maximum increase in size.",Midbrain,Forebrain,All of the above,Hindbrain,,,
Biology,have higher lung capacities than humans.,Elephants,Birds,Both A and C,cheetahs,,,
Biology,"Name the pioneer and the climax species in a water body. Mention the changes observed in the biomass and the biodiversity of the successive seral communities developing in the
water body",,,,,,,
Biology,"Endotherms or warm blooded animals
maintain a constant temperature by",Insulating coat,Changing cutaneous circulation,Disposing off extra energy as heat,Both A and B,,,
Biology,"Some hyperthermophilic organisms, that grow in highly acidic \( (\mathrm{pH}=2) \) habitats, belong to the two groups
which are",Liverworts and yeasts,Eubacteria and archaea,Protists and mosses,cyanobacteria and diatoms,,,
Biology,"The classification, category below the level of family is",Class,Species,Genus,Phylum,,,
Biology,"The chemical differences between DNA
and RNA are",DNA has deoxyribose sugar and RNA has ribose sugar,DNA is double stranded and RNA is single stranded,Both A and B,Nitrogenous bases are only present in DNA.,,,
Biology,Mendel was born in,17th century,18th century,8th century.,19th century,,,
Biology,"Correct order of excretory organs in cockroach, earthworm and rabbits are
respectively","Skin, malpighian tubules, kidney","Malpighian tubules, nephridia, kidney","Nephridia, kidney, green gland","Nephridia, malpighian tubules, kidney",,,
Biology,"Assertion
Peptidyl transfer site is contributed by larger sub-unit of ribosome
Reason
The enzyme peptidyl transferase is contributed by both \( 23 S \) and 16 S ribosomal sub-units",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Consider statements a-c about
pollution.
(a) To control air pollution all Delhi buses were asked to run on unleaded
petrol by the end of 2002
(b) Electrostatic precipitator can
remove \( 99 \% \) of particulate matter from
thermal power plant exhaust.
(c) It is possible to estimate amount of organic matter in sewage water by measuring BOD. Of the statements.
\( A \cdot b \) and \( c \) correct",,a alone correct,c alone correct,b alone correct,a and b correct,,
Biology,"During germination, stem grows upward and root goes downward because",It depends upon light,Of auxin,of epinasty and hyponasty,It does not depend on light,,,
Biology,The ratio of RBC to WBC in man is,6:,60: 1,6000:,600: 1,,,
Biology,Fine the odd one.,Adiantum,Equisetum,Riccia,Selaginella,,,
Biology,Normal pathway of blood flow is,Right ventricle to aorta,Pulmonary veins to left atrium,Pulmonary veins to left ventricle,Inferior vena cava to left atrium,Left ventricle to pulmonary artery,,
Biology,"In the demographic transition, the birth as well as the death rates decline.",third,second,first,fourth,,,
Biology,"On reaching puberty, a woman's ovaries usually release egg each month.",one,Two,Many,Three,,,
Biology,"In TCA during the conversion of succinic acid to fumaric acid how many ATP are produced?
\( A \cdot 2 \)",,"14
\( c \cdot 6 \)",10,,,,
Biology,Which of the following structures helps in the absorption of water from the soil?,Root hair,Root tip,None of the above,Stomata,,,
Biology,"A homozygous tall plant (T) bearing red
coloured (R) flowers is crossed with a
homozygous dwarf
(t) plant bearing white (r) flowers.
What is the phenotypic ratio obtained in
\( F_{2} \) generation?",,,,,,,
Biology,"Given is a representation of a type of pollution. Study the picture and answer the question. Write one measure to reduce this
pollution.",,,,,,,
Biology,Which one of the following pairs of animals comprises 'Jaw less fishes'?,Guppies and hag fishes,Lampreys and eels,Lampreys and hag fishes,Mackerals and Rohu,,,
Biology,"A mixture containing equal quantity of germinating maize and groundnut seeds are taken. The RQ of this mixture
would be",one,Less than one,Infinity,More than one,,,
Biology,"The carbon cycle is the movement of carbon on Earth by the processes of
and \( -\cdots \)",Plants and animalss,Respiration and photosynthesis,Oxygen and carbon dioxide,Breathing in and breathing out,,,
Biology,"If one litre of water at \( 25^{\circ} C \) is mixed
with one litre of water at \( 45^{\circ} \mathrm{C} \) the
temperature of the water will be
\( \mathbf{A} \cdot 70^{\circ} \mathrm{C} \)
B \( \cdot 20^{\circ} \mathrm{C} \)
\( \mathrm{c} \cdot<25^{\circ} \mathrm{C} \)
\( \mathrm{D} \cdot>25^{\circ} \mathrm{C\&}<45^{\circ} \mathrm{C} \)",,,,,,,
Biology,"Which of the following is true for the inheritance of sex chromosomes in
humans?",The gametes from each parent have either an \( x \) or a chromosome.,The gamete from the mother has either an \( x \) or a \( y \) chromosome.,The gamete from the father only has an \( x \) chromosome.,The gamete from the father has either an \( x \) or a chromosome.,The gamete from the mother only has a \( Y \) chromosome.,,
Biology,Kidney of mammals is,Pronephric,"Mesonephric
C . Metanephric",None of the above,,,,
Biology,Biological control during sewage treatment is observed in,Aerating tanks,Settling tanks,Primary treatment,Anaerobic sludge digesters,,,
Biology,The study of the kind and diversity of organisms and the existing relationship among them is called,systematics,Taxonomy,Nomenclature,Classification,,,
Biology,Which of the following plant is used for the purification of water?,Biggiata,Chlorella,Eichhornia,spirogyra,,,
Biology,"A group of closely related, structurally and functionally similar organism which interbreed with one another in
nature, but not with organisms of other groups is known as",Order,Genus,Family,species,,,
Biology,"Which of the following birth control methods are associated with the
highest pregnancy rates with typical
use?",Cervical cap in nulliparous woman,Spermicides,Two Day method,symptothermal methodd,Withdrawal method,,
Biology,The embryo of fish is covered by,Amnion,Chorion,None of the above,Allantois,,,
Biology,Dog is an example of class,Amphibia,Aves,None of the above,Mammalia,,,
Biology,"Which one is common among nucleus, chloroplast and mitochondria?",Cristae,Nucleic acids,Carbohydrate metabolism,Thylakoids,,,
Biology,"For biogas production, besides dung an extensive use of which weed is
recommended in our country",Mangifera indica,Hydrilla,Solanum,Eichhornia crassipess,,,
Biology,"One of the constituents of the
pancreatic juice, which is released into the duodenum of a man is",Trypsin,Chymotrypsin,Both B and C,Trypsinogen,,,
Biology,Very short answer type. Mention the most significant role of neutrophils.,,,,,,,
Biology,"Elongation of peptide chain involves all
except
\( A . \) mRNA",,GTP and peptidyl tranferase,Formyl met-tRNA,"Tu, Ts and G factors",,,
Biology,Which one of the following is not a photosynthetic diazotroph.,Nostoc,Frankie,Rhodospirillum,Anabaena,,,
Biology,Describe oxygen-haemoglobin dissociation curve,,,,,,,
Biology,What are respiratory substrates?,,,,,,,
Biology,A reflex arc does not involve,A receptor,A sensory pathway,The brain,A motor pathway,,,
Biology,"Define asexual reproduction. Give name
of two methods of asexual reproduction.",,,,,,,
Biology,"The mechanism of urine formation in
nephron involves","(i)- Glomerular filtration
(i)- Reabsorption, (ii) Secretion, (iv)- Excretion","(i)- Glomerular filtration
(ii)- Secretion, (ii)Reabsorption,
(iv)- Excretion","(i)- Glomerular filtration
(ii)- Reabsorption, (ii) Excretion
(iv)- Secretion","(i)- secretion
(ii)- Reabsorption, (ii)- Glomerular filtration, (iv)- Excretion",,,
Biology,Degeneration of genetic code is due to,First member of codons,Second member of codons,Entire codons,Third member of codons,,,
Biology,"Darwins finches are an excellent
example of",Adaptive radiation,Seasonal migration,connecting links,Brood parasitism,,,
Biology,"What is the importance of plasma
proteins?",,,,,,,
Biology,"Choose the most appropriate answer.
(a) Internal fertilization occurs
(i) in female body.
(ii) outside female body.
(iii) in male body
(iv) outside male body.
(b) A tadpole develops into an adult frog
by the process of
(i) fertilization
(ii) metamorphosis (iii) embedding (iv) budding
(c) The number of nuclei present in a
zygote is
(i) none
(ii) one
(iii) two
(iv) four",,,,,,,
Biology,Which among the following are the examples of Reptilia?,Snakes,Turtles,All of the above,Lizards,,,
Biology,Give examples of natural causes of deforestation.,Forest fires,Drought,None of the above,Both A and B,,,
Biology,Mycorrhizae are associated with angiosperms.,Anacardiaceae,Orchidaceae,None of the above,Both of the above,,,
Biology,"People who have migrated from the planes to an area adjoining Rohtang
Pass about six month back.",Have more RBCs and their haemoglobin has a lower binding affinity to \( O_{2} \),Are not physically fit to play games like football,Have the usual RBC count but their haemoglobin has very high binding affinity to \( O_{2} \),"suffer from altitude sickness with symptoms like nausea, fatigue, etc",,,
Biology,"Which of the following is/are the characteristics of the family whose floral diagram is given?
(i) Aloe, Asparagus and Colchicum belong to this family
(ii) Flower is zygomorphic.
(iii) Floral formula is \( 0+P 3+3 A 3+3 G 3 \)
(Fruits are berry or capsule.
A . (i),(ii) and (iii)",,(iii) only,"(i), (iii) and (iv)",(i) only,,,
Biology,"The English physician, William Harvey discovered the circulation of blood.",A.D. 1578 -1656,A.D. 1578 -1658,A.D. 1578 -1660,A.D. 1578 -1657,,,
Biology,Long refractory period is found in,White fibres of skeletal muscle,Red fibres of skeletal muscle,cardiac muscle,Smooth muscle,,,
Biology,"What is the reason for the success of
monerans?",Eukaryotic nature and rigid cell wall,Absence of nucleus and other membrane bound organelles,Rapid rate of cell division and metabolic diversity,Absence of vacuole and microscopic in nature,,,
Biology,In ecotone which species become abundant?,Sibling species,Endemic species,Edge species,Rare species,,,
Biology,"Incomplete loop of Henle is found in
\( \mathbf{A} \)
Frog
\( \mathbf{B} \)
Human
\( \mathbf{c} \)
Bird",,,Mammal,,,,
Biology,The artery can be distinguished from vein in having,Thicker walls,More blood cells,Larger cavity,More plasma,,,
Biology,"B-DNA double helix makes a complete
turn with",Every 10 base pairss,Every 20 base pairss,Every 3-6 base pairs,Every 36 base pairs,,,
Biology,"What is an artificial kidney haemodialysis? Write the use of
haemodialysis.",,,,,,,
Biology,Main function of glomerulus is,Reabsorption of water,Filtration of urine,concentration of urine,Reabsorption of \( N a^{\text {t }} \),,,
Biology,Ribose sugar differs from deoxyribose in having,two extra oxygen molecules,one extra oxygen molecules,Hydroxyl group,no oxygen,,,
Biology,What is Glycolysis? Write main steps of ¡t.,,,,,,,
Biology,"At mid day hours, the xylem sap is in
state of",compression,Tension,Adhesion,Relaxation,,,
Biology,Two similar holotypes are called,Mesotypes,Meotypes,Isotypes,syntypes,,,
Biology,The enzyme involved in transcription is,RNA polymerase,DNA polymerase I,,DNA polymerase II,,,
Biology,"List three ways how humans have
affected the water cycle.
Prepare slogans on green house effect to announce in assembly.",,,,,,,
Biology,"If a person is adviced to intake ORS, it
means he is suffering from",Typhoid,Jaundice,Measles,Diarrhoea,,,
Biology,"Do plant need oxygen? If so, what is its
source?",,,,,,,
Biology,Members of hominidae are,"Man, Lemur, Ape","Man, Chimpanzee, Gorilla","Chimpanzee, Lemur, Ape","Monkey, Ape, Lemur",,,
Biology,"Choose the correct answer from the
alternatives given :
Watson and Crick (1953) proposed DNA
double helix model and won the Nobel
Prize; their model of DNA was based on
(i) X-ray diffraction studies of DNA done by Wilkins and Franklin
(ii) Chargaffs base equivalence rule
(iii) Griffiths transformation
experiment
(iv) Meselson and Stahls experiment.","(i), (ii) and (iv)",(i) and (ii),"(i), (ii), (iii) and (iv)",(iii) and (iv),,,
Biology,Effect of day length duration on plant development/flowering is,Chemotropism,Phototropism,Photonasty,Photoperiodism,,,
Biology,Roots of plants take up air from,The air spaces present between the soil particles,The bacteria surrounding the roots,The stem tissues,The leaves,,,
Biology,The thyroid hormones are strored as,Glycoproteins,"Thyroglobulin
\( c . \) T3 and T4",Polycyclic hydrocarbons,,,,
Biology,"Viruses with two types of symmetry,
that is, icosahedral head and helical tail
are termed as",Picornaviruses,Binal viruses,None of the above,Riboviruses,,,
Biology,"If there is \( 20 \% \) adenine in DNA, the
percentage of guanine will be
A . 20\%",,40\%,None of the above,\( 10 \% \),,,
Biology,"Wall of internal organs (stomach, intestine, blood vessels) contains
muscles",Striped,Cardiac,None of the above,smooth,,,
Biology,"The enzyme polynucleotide phosphorylase randomly assembles nucleotides into a polynucleotide phosphorylase to a solution of adenosine triphosphate and guanosine triphosphate, how many types artificial
\( m R N A 3 \) nucleotide codons would be
possible?
\( \mathbf{A} \cdot \mathbf{3} \)",,4,16,8,,,
Biology,Excretory product of spider is,Ammonia,Uric acid,All the above,Guanine,,,
Biology,Thin filaments in myofibrils consists of,Actin and accessory proteins,Sarcomeres,z lines,cross-bridges,,,
Biology,An organic substance bound to an enzyme and essential for its activity is,Isoenzyme,Coenzyme,Holoenzyme,Apoenzyme,,,
Biology,"In respiration, pyruvic acid is",Formed only when oxygen is available,One of the products of Krebs cycle,A result of protein breakdown,Broken down into two carbon fragments and \( \mathrm{CO}_{2} \),,,
Biology,"Match the following (column I with column II).
\( \begin{array}{ll}\text { Column I } & \text { Column II } \\ \text { (a) Chlamydomonas } & \text { (i) Moss } \\ \text { (b) cycas } & \text { (ii) Pteridophyta } \\ \text { (c) Selaginella } & \text { (iii) Algae } \\ \text { (d) Sphagnum } & \text { (iv) Gymnosperm }\end{array} \)",,,,,,,
Biology,Define the term placentation.,,,,,,,
Biology,"Refer to the given figure and select the
incorrect option regarding it.",It belongs to Class Basidiomycetes.,"It is a non-edible, poisonous mushroom.","The basidiospores in it, are exogenously produced on the basidium",It possesses an umbrella like basidiocarp.,,,
Biology,"In photosynthesis, for the fixation of one mole of glucose, the number of ATP and
NADPH \( _{2} \) required is
\( A \cdot 12 \) and 18",,18 and 12 .,18 and 18 .,6 and 12 .,,,
Biology,"Which one is more permanent
ecosystem?",Forest,Mountain,Sea,Desert,,,
Biology,"Stem of few dicot plants are getting mechanical strength mainly because of tissue, before secondary growth.",Sclerenchyma,Collenchyma,None of the above,Parenchyma,,,
Biology,"The concept of stabilizing selection is described by
0",Graph I only,Graph II only,Graph III only,Both Graph I and Graph II,Both Graph II and Graph III,,
Biology,"How does the cork act as a protective
tissue?",,,,,,,
Biology,In which one of the following parts of the female reproductive system fertilization takes place?,Uterus,oviduct,Ovary,vagina,None of these,,
Biology,"The most important forces for the
ascent of sap in plants are?",Imbibition and capillary,Suction pressure and cohesion,Root pressure and pulsation,Capillary and root pressure,,,
Biology,"Choose the correct answer from the
alternatives given. The cells constituting walls of blood capillaries are known as:",endothelial cells,cords,plasma cells,oxyntic cells,,,
Biology,"Phallic organs in cockroach are related
to",Male excretory system,Male reproductive system,Female reproductive system,,,,
Biology,"Write any five salient features of
International Code of Botanical
Nomenclature (ICBN)",,,,,,,
Biology,"The difference between systolic and
diastolic pressure in human is
\( \mathbf{A} \cdot 120 \mathrm{mm} \mathrm{Hg} \)",,\( 80 \mathrm{mm} \) Hg,\( 200 \mathrm{mm} \) Hg,\( 40 \mathrm{mm} \) Hg,,,
Biology,"Which of the following can be the
solution for water scarcity caused by
agriculture?",Knowledge and resources for producing more and better crops with less water.,Drip water irrigation.,All of the above.,More efficient water management systems adapted to climate variability.,,,
Biology,"How many endocrine glands are located in human brain?
\( A \cdot 3 \)",,"4
\( c \cdot 2 \)
\( D \)",,,,,
Biology,Steroid hormones,Work via second messenger,"Trigger rapid, short term response in cells",Initiate open channels in plasma membrane,Alter the activity of genes,,,
Biology,"The first enzyme isolated in crystalline
form was
A . Catalase",,Urease,Amylase,Peroxidase,,,
Biology,Non-myelinated nerve fibres occur in,Cranial nerves,Autonomic nerves,Spinal nerves,optic nerves,,,
Biology,"Difference between bone and cartilage
is in having
A . Haversian canal",,Blood vessel,All of the above,Lymph vessel,,,
Biology,"The zygospores of Rhizopus contain a high amount of fat globules. It is thick walled and the colour is
A . Green",,White,Black,Grey,,,
Biology,"Very Short Answer Types:
In which phase, there is an active
synthesis of RNA and proteins and no change in DNA contents of the cell?",,,,,,,
Biology,"Name the material transported by the following tissue/blood vessel.
a) Xylem
b) Pulmonary artery
c) Pulmonary vein
d) Phloem",,,,,,,
Biology,"An angiospermic male plant with 24 chromosomes in its pollen mother cells is crossed with female plant bearing 24 chromosomes in its root cells. What
would be the ploidy of embryo and endosperm respectively formed after this cross?",24 and 48,24 and 24,24 and 36,48 and 72,,,
Biology,Soil that is rich in soluble salts is,Laterite,Halomorphic,None of these,calcimorphic,,,
Biology,"Which one has the maximum number
of chromosomes?",Marsilea,Equiserum,Lycopodium,ophioglossum,,,
Biology,Peroxisome is associated with.,Photorespiration.,Photosynthesis.,Phototropism.,Photoperiodism.,,,
Biology,"Secondary growth in dicots and
gymnosperms occurs by",Formation of vascular rays,Thickening of tracheary elements,Development of meristematic cells in vascular and cortical regions,Formation of meristematic cells in vascular region,,,
Biology,Which of the following hormones is used in root formation on stem cutting?,Kinetin,GAA,,"ABA
\( D \cdot \) IBA",,,
Biology,"Mention the role of Methanobacterium
in rumen of cattle",,,,,,,
Biology,Which of the following is not a factor in determining rate of photosynthesis?,\( \mathrm{C}_{6} \mathrm{H}_{12} \mathrm{O}_{6} \),\( \mathrm{cO}_{2} \),Light,ATP,,,
Biology,"Total number of meiosis that occur in
the sporangium of Nephrolepis is
\( \mathbf{A} \cdot \mathbf{1} \)",,"4
\( c \cdot 16 \)",None of the above,,,,
Biology,"Which of the following is not a
characteristic feature of all chordates?",Dorsal Nerve Cord,Presence of Coelom,Diaphragm that separates thorax and abdomen,Pharyngeal gill clefts in the early embryonic stage,,,
Biology,"Choose the correct answer from the
alternatives given What is name of the iron-containing protein that gives red blood vessels
their colour?",Haemoglobin,Hemocyanin,Lymphocytes,Pyrite,,,
Biology,Bone is a,Epithelium tissue,Muscular tissue,Nervous tissue,Connective tissue,,,
Biology,Sunken stomata occur in,Mango,Guava,Nerium,Hydrilla,,,
Biology,"In genetics, a reference is made to an abbreviated expression AUG. Write any three points of scientific information embodied in this
combination of three letters.",,,,,,,
Biology,"In water treatment plants, the gas used",Ozone,Carbon dioxide,oxygen,Nitrogen,,,
Biology,Conifers are related to,Match industry,Paper industry,All of the above,Timber industry,,,
Biology,Which of the following are the first to have closed circulatory system?,Molluscs,Annelids,Echinoderms,Arthropods,,,
Biology,Which of the following is a unisexual animal?,Tiger,Earthworm,Snail,Leech,,,
Biology,Which of the following animals are involved in the fluid feeding mode?,Honey bees,"Amoeba
\( c . \) cow",None of the above,,,,
Biology,"Select the incorrect statement with
respect to vegetative propagation.",Banana is multiplied by means of rhizome,Bulbils are the vegetative propagules seen in Agave,Aquatic plants are multiplied by runner,Aquatic plants are multiplied by offsets,,,
Biology,Erythropoietin is produced by,Thymus,Pituitary,Kidney,Heart,,,
Biology,The function of Anti-transpirants is:,Reduce the rate of transpiration without affecting carbon assimilation,Reduce the rate of transpiration affecting carbon assimilation,Reduce the rate of transpiration affecting protein synthesis of plant,Reduce the rate of transpiration affecting growth of plant,,,
Biology,"After forceful inspiration, the amount of air that can be breathed out by maximum forced expiration is equal to
A \( \cdot \operatorname{lRV}+\operatorname{ERV}+\operatorname{TV}+\operatorname{RV} \)",,IRV + RV + ERV,\( T V+R V+E R V \),\( \operatorname{IRV}+\mathrm{TV}+\mathrm{ERV} \),,,
Biology,"The link between successive generation
is provided by",Nucleus,Cytoplasm,Nucleic acid,Lysosome,,,
Biology,What is the importance of pectoral and pelvic girdle?,,,,,,,
Biology,"With respect to Eichorrnia:
Statement \( X: \) It drains off oxygen from
water and is seen growing in standing
water.
Statement Y : It is an indigenous species of our country.",Both statements \( x \) and \( Y \) are correct,Both statements X and Y are wrong,only statement Y is correct and X is wrong,only statement \( x \) is correct and \( Y \) is wrong,,,
Biology,What is transcription?,,,,,,,
Biology,Speed of nerve impulse in mammals is,1 meter / sec,100 meter/sec,None of the above,1000 meter / sec,,,
Biology,"Assertion
Time taken for the completion of mitotic phase is \( 5-10 \% \) of the total cell cycle.
Reason
It is the shorter than the interphase.","Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,",Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Very short answer type:
What is a bicollateral vascular bundle?",,,,,,,
Biology,An organism without true nucleus is,Bacterium,Archaebacterium,All the above,Cyanobacterium,,,
Biology,"The kidneys are located in the
space.",Pelvic cavity,Peritoneal cavity,Retroperitoneal,Abdominal,,,
Biology,The succession of both hydrarch and xerarch leads to,Highly dry conditions,Excessive wet conditions,Xeric conditions,Medium water conditions,,,
Biology,Height of a person depends on their,Genes,Blood,None of the above,Habits,,,
Biology,"The first formed nitrogenous waste of
vertebrates is
A \( . N H_{2} \)",,Urea,\( N H_{4} \),\( N H_{3} \),,,
Biology,"According to the recent reports, the country contributed maximum to hole
formation in ozone layer is",U.S.A.,Russia,Japan,Germany,,,
Biology,Lymph is colourless because,WBC are absent,WBC are present,\( R B C \) are absent,Haemoglobin is absent,,,
Biology,"Select the proper effect of growth
regulator, which is acidic in nature and
is synthesized more in darkness.","Under the condition of water-stress, it stimulates the
process of closing of stomata.",Retained chlorophyll in leaves.,Mobilization of storage compounds during germination.,It induces drooping of leaf and flowers.,,,
Biology,The digestion of food in amoeba is,Intracellular,Intercellular,None of the above,Intravenous,,,
Biology,"Prolonged liberal irrigation of agricultural fields is likely to create a problem of
A . Acidity",,Alkalinity,Metal toxicity,salinity,,,
Biology,"In hexose monophosphate shunt, the
number of \( C O_{2} \) molecules evolved is",Same as in glycolysis,Less than glycolysis,Much lesser than the glycolysiss,More than glycolysis,,,
Biology,"Pyruvic acid is a product of
A . Acety",,CoA,Glucose,starch,,,
Biology,Acidophils of pituitary secrete,STH and FSH,STH and PL,STH and GTH,stH and Tsh,,,
Biology,"Define:
a) Mitosis and
b) Meiosis",,,,,,,
Biology,Distinguish between IRV and ERV.,,,,,,,
Biology,"Very short answer type. Suppose a calculus (stone) is blocking a major calyx, what effect might this have on capsular hydrostatic pressure (CIIP) and thus on net filtration pressure (NFP)?",,,,,,,
Biology,"Binomial system of nomenclature
means that every organism
has","Two names, one scientific and the other popular",One name given by two scientists,A number in an international catalogue by which it can be identified,One scientific name consisting of a generic and specific name,,,
Biology,"Energy currency/coin of cell is
A . ATP",,NAD,GDP,ADP,,,
Biology,"A ring of smooth muscles present
between the stomach and the
duodenum is",Cardiac Sphincter,Pyloric Sphincter,Anal Sphincter,Ileocaecal valve,,,
Biology,"Vascular bundle is known as ..........., when
the xylem completely surrounds phloem",Bicollateral,Amphivasal,Amphicribral,conjoint and open,,,
Biology,"Plants like sugarcane and sorghum have indigenously developed system to overcome the loss by photorespiration as they are .......... plants.
\( \mathbf{A} \cdot C_{4} \)
в. \( C_{3} \)",,,\( C_{1} \),\( C_{2} \),,,
Biology,Quiescent centre theory for demonstrating apical organisation in root was proposed by,Schuepp,Hanstein,Nageli,clowes,,,
Biology,Spores are,Tiny cells protected by thick walls to survive unfavorable conditions,Buds formed in long chains,New organisms growing from tuberous roots,Outgrowths from parent organism,,,
Biology,Polysaccharide monomers are linked by,Peptide bonds,Glycosidic bonds,Phosphodiester bonds,Hydrogen bonds,,,
Biology,"Choose the correct answer from the
alternatives given Hydroponics is a technique of growing:",submerged Plants,free-floating aquatic plants,plants in aqueous balanced nutrient medium,terrestrial plants in sand,,,
Biology,"Assertion
Secondary succession takes place in
recently denuded area.
Reason
It is caused due to baring of an area.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion.","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion.",Both Assertion and Reason are incorrect.,Assertion is correct but Reason is incorrect.,,,
